Designator,Mid X,Mid Y,Layer,Rotation
C1,27.69,10.85,Top,90.0
C2,29.73,10.85,Top,90.0
C3,14.56, 9.32,Top,180.0
C4,15.07,13.35,Top,0.0
C5,10.96,17.75,Top,180.0
C6,31.75,10.85,Top,90.0
C7,20.27, 8.31,Top,0.0
F1,10.96,15.54,Top,180.0
IC1,22.63,11.84,Top,270.0
IC2,34.45, 9.80,Top,90.0
J1, 5.15,15.05,Top,270.0
J3, 6.63, 5.28,Top,270.0
LDO,15.63,16.45,Top,90.0
PWR,21.18, 4.65,Top,0.0
R1,35.75,14.00,Top,0.0
R2,31.67,14.00,Top,180.0
R3,21.18, 1.91,Top,90.0
R4, 6.81,11.53,Top,270.0
R5, 9.32, 2.04,Top,180.0
R6,34.19, 1.91,Top,90.0
RX,35.75,15.46,Top,270.0
S1,14.11, 4.22,Top,0.0
S2,28.02, 4.22,Top,0.0
TX,31.66,15.46,Top,90.0
VOUT,34.19, 4.65,Top,0.0
